article_id,year,matched_groups,sentiment,conf,rationale
2012E059T088,2012,ets,EU_NEU,2,Factual reporting on EU emission allowance withdrawal mechanism with expert commentary on market effects; no clear editorial stance on policy merit.
2012E047T084,2012,ets,EU_NEU,2,Procedural coverage of EU aviation emissions fee with international opposition; presents both EU justification and criticism without endorsing either side.
2012E072T015,2012,ets,EU_NEG,2,Uses language like 'diktuje' (dictates) and frames industry opposition prominently; presents EU policy as contested and economically risky rather than environmentally justified.
2012E067T087,2012,ets,SKIP,3,Focuses on Czech domestic pollution fee debate; EU climate policy not substantively discussed.
2012E175A015,2012,combustion_ban,SKIP,3,Car review of Infiniti hybrid; incidental mention of climate change and 'ecological cars' but not about EU climate policy.
2012E270T108,2012,ets,EU_NEU,2,"Factual reporting on Czech parliamentary debate about emissions allowances and renewable energy subsidies, with balanced quotes from industry and government; no clear editorial judgment on EU climate policy merit."
2013E205A038,2013,combustion_ban,SKIP,3,"Report about regional drought and fire danger declarations; contains no reference to EU climate policy, Green Deal, ETS, or related EU initiatives."
2015E109T008,2015,ets,EU_NEU,2,"Discussion of Czech energy strategy formation comparing to EU members (France, Germany); reports on positions without clear editorial stance on EU climate policy itself."
2015E261T062,2015,ets,EU_NEU,2,Factual reporting on EU ministers' agreement on climate targets for Paris conference and mention of costs to Czech firms; presents information procedurally without clear evaluative framing.
2016E327A041,2016,ets,EU_NEG,2,Reports EC reform of emissions trading as 'great threat' to regional industry with 'billions' in new costs; frames policy as economically damaging with risk of job losses and company viability.
2017E049A017,2017,ets,EU_NEU,2,"Reports EU Parliament's vote on emissions trading reform and Czech steel industry concerns; presents both the EU rationale (low-carbon economy, climate mitigation) and industry opposition (high CO2 payment costs) without editorial judgment."
2017E046A026,2017,ets,EU_NEU,2,"Nearly identical to first document; factual coverage of emissions permit reform and steel sector anxiety, presenting EU policy goals and Czech industry fears without clear advocacy."
2017E214T062,2017,ets,SKIP,3,Budget negotiations for health and environment ministries; no substantive discussion of EU climate policy or the Green Deal/ETS framework.
2017E268T055,2017,combustion_ban,SKIP,3,Coverage of German federal election results and coalition negotiations; EU climate policy does not feature in the content.
2018E133T026,2018,combustion_ban,EU_NEU,2,Reports extreme heat waves in spring 2018 and attributes them to climate change per World Meteorological Organization; no discussion of EU policy responses or climate mitigation measures.
2018E127T065,2018,combustion_ban,SKIP,3,Document focuses on extreme weather events and climate impacts; EU climate policy is not discussed or framed.
2018E282A039,2018,combustion_ban,EU_NEG,3,Czechia and V4 countries actively oppose EU's 40% CO2 reduction proposal; framed as problematic for Czech economy and industry.
2018E283T049,2018,combustion_ban,EU_NEU,2,"Expert debate on EU emission limits with balanced arguments; no clear editorial stance, though expert challenges industry lobbying claims."
2018E282T070,2018,combustion_ban,EU_NEG,3,Czechia described as strongly opposing EU's 40% CO2 reduction; framed as problematic for Czech republic with repeated emphasis on Czechia's resistance.
2018E282T058,2018,combustion_ban,EU_NEG,3,Headline frames V4/Czechia as 'revolting' against EU emission regulations; portrays EU proposal as risky threat to Czech economy.
2018E340T081,2018,combustion_ban,EU_NEU,2,Factual reporting on global climate conference in Katowice and emissions data; mentions Paris Agreement goals and expert warnings but focuses on empirical facts rather than evaluating EU policy merits.
2019E076T003,2019,ets,EU_POS,2,"Frames climate action positively through student activism demanding faster emission cuts; presents climate protection as morally necessary and urgent, aligning with pro-climate policy sentiment."
2019E139A033,2019,combustion_ban,EU_NEU,2,"Reports on German election campaign climate debate and Green Party's rise; presents both pro-climate positions (Timmermans) and economic concerns (Weber) without endorsing either, maintaining factual tone."
2019E176T067,2019,combustion_ban,EU_NEG,2,"Frames EU carbon neutrality initiative negatively by highlighting Czech resistance; emphasizes that Czechia blocked the commitment, positioning Czech national interests against EU climate ambitions."
2019E171T068,2019,combustion_ban,SKIP,3,Document focuses on EU leadership appointments and political negotiations; mentions are procedural/incidental with no substantive discussion of EU climate policy itself.
2019E165T052,2019,combustion_ban,EU_NEU,2,"Factual description of European climate campaign examples (e-bikes, e-cars, green buildings) without editorial stance on EU policy merits or criticism."
2019E211A028,2019,ets,EU_NEU,2,"Reports on Czech government coal commission creation and coal plant operations; no substantive EU climate policy framing, though climate context is present."
2019E204T034,2019,combustion_ban; eu_climate_law,EU_NEU,2,"Mentions EU climate commitments and Greta Thunberg's call for political action, but frames discussion as open question (ideology vs. necessity) without clear editorial position on EU policy."
2019E197T061,2019,eu_climate_law,SKIP,3,Document focuses on Ursula von der Leyen's appointment as Commission president; EU climate policy is not substantively discussed.
2019E224A074,2019,combustion_ban,EU_NEU,2,"Reports Prague's hybrid bus deployment as response to climate commitment, but focuses on technical details and local implementation; mentions European subsidies without evaluating EU policy itself."
2019E263A048,2019,ets,EU_NEU,0,
2019E252A082,2019,combustion_ban,EU_NEU,0,
2019E263T078,2019,ets,EU_NEU,0,
2019E255T056,2019,combustion_ban,EU_NEU,0,
2019E253T054,2019,green_deal,EU_NEU,0,
2019E347A057,2019,green_deal,EU_NEU,2,"Factual reporting of EU climate summit agreement with balanced coverage of Czech position on nuclear energy, Polish exemption, and tensions between East-West economic concerns."
2019E345A052,2019,green_deal,EU_NEU,2,Neutral reporting of Green Deal announcement with factual detail on measures; quotes critical Czech/Polish/Hungarian positions on costs without editorial judgment on their merit.
